label,estado_animo
positivo,Lleno de amor
positivo,Positivo
positivo,Empático
positivo,Encantado
positivo,Animado
positivo,Listo para crear algo maravilloso
positivo,Entregado
positivo,Motivado
positivo,Reconfortado
positivo,Me siento en la cima del mundo
positivo,Solidario
positivo,Feliz
positivo,Todo es posible hoy
positivo,Estoy en paz conmigo mismo
positivo,Feliz de estar aquí
positivo,Listo para cualquier cosa
positivo,Confiado
positivo,Esperanzado
positivo,Valiente
positivo,Cuidado
positivo,Seguro de sí mismo
positivo,Satisfecho
positivo,Amado
positivo,Divertido
positivo,Cariñoso
positivo,Me siento profundamente relajado
positivo,Entusiasmado
positivo,En paz
positivo,Eufórico
positivo,Energético
positivo,Simpático
positivo,Siento paz interior
positivo,Emocionado
positivo,Todo parece brillar hoy
positivo,Un día para disfrutar al máximo
positivo,Llena de energía
positivo,Hoy todo va bien
positivo,Relajado
positivo,Amado y apreciado
positivo,Agradecido por lo que tengo
positivo,Agradecido
positivo,Fortalecido
positivo,Con mucha gratitud
positivo,Optimismo a flor de piel
positivo,Sociable
positivo,Inspirado
positivo,Tranquilo
positivo,Optimista
positivo,Creativo
positivo,Aventurero
positivo,Orgulloso de mis logros
positivo,Siento un amor inmenso
positivo,Con una chispa de inspiración
positivo,Orgulloso
positivo,Contento
neutro,Pensativo
neutro,Me siento pensativo
neutro,Aceptando
neutro,Comedido
neutro,Sin emociones fuertes
neutro,Imparcial
neutro,Desconfiado
neutro,Todo en calma
neutro,Perplejo
neutro,Complaciente
neutro,Rutinario
neutro,Simplemente bien
neutro,Neutral
neutro,Sereno
neutro,Sin expectativas fuertes
neutro,Concentrado
neutro,Simplemente otro día más
neutro,Estoy bien
neutro,Nada fuera de lo común
neutro,Sosegado
neutro,Equilibrado
neutro,Atento a los detalles
neutro,Desinteresado
neutro,Calmado
neutro,Distante
neutro,Estoy conforme
neutro,Indiferente
neutro,No siento emociones fuertes
neutro,Inseguro
neutro,Observando la situación
neutro,Hoy me siento neutral
neutro,Cansado
neutro,Silencioso
neutro,Un día tranquilo
neutro,Reservado
neutro,Aceptando el día tal como es
neutro,Sin mucho que decir
neutro,Todo parece normal
neutro,Insensible
neutro,Inalterable
neutro,Nada que destacar
neutro,Apático
neutro,Atento
neutro,Expectante
neutro,Tolerante
neutro,Despreocupado
neutro,Hoy estoy en calma
neutro,Concentrado en mis tareas
neutro,Moderado
neutro,Precavido
neutro,Reflexivo
neutro,Paciente
neutro,Manteniendo una perspectiva equilibrada
neutro,Observador
negativo,Todo parece oscuro
negativo,Desamparado
negativo,Envidioso
negativo,Enfrentando mis miedos
negativo,Celoso
negativo,Todo parece complicado
negativo,No sé en qué creer
negativo,Perdí mi rumbo
negativo,Enojado
negativo,Despreciado
negativo,No puedo dejar de preocuparme
negativo,Nada parece motivarme
negativo,Sin fuerzas para seguir
negativo,Desanimado y sin energía
negativo,Es un día difícil
negativo,Abatido
negativo,Ofendido
negativo,Irritado
negativo,Desconsolado
negativo,Rechazado
negativo,Hoy me siento vulnerable
negativo,Agobiado
